Début du scan avec comme paramètres : 
Protocole : UDP		 Nom d'hôte : 127.0.0.1
Port 5031		Ouvert
Port 5051		Ouvert
Port 5041		Ouvert
Port 137		Ouvert
Port 5061		Ouvert
Port 3183		Ouvert
Port 5071		Ouvert
Port 5091		Ouvert
Port 5081		Ouvert
Port 3202		Ouvert
Port 5101		Ouvert
Port 5121		Ouvert
Port 704		Ouvert
Port 364		Ouvert
Port 3222		Ouvert
Port 5111		Ouvert
Port 2162		Ouvert
Port 5131		Ouvert
Port 953		Ouvert
Port 5141		Ouvert
Port 584		Ouvert
Port 743		Ouvert
Port 973		Ouvert
Port 5151		Ouvert
Port 5161		Ouvert
Port 2143		Ouvert
Port 5171		Ouvert
Port 1384		Ouvert
Port 5191		Ouvert
Port 1423		Ouvert
Port 5181		Ouvert
Port 5201		Ouvert
Port 3242		Ouvert
Port 357		Ouvert
Port 3302		Ouvert
Port 3262		Ouvert
Port 3312		Ouvert
Port 5211		Ouvert
Port 5221		Ouvert
Port 2223		Ouvert
Port 384		Ouvert
Port 3292		Ouvert
Port 5231		Ouvert
Port 2233		Ouvert
Port 5241		Ouvert
Port 2272		Ouvert
Port 5251		Ouvert
Port 3372		Ouvert
Port 5261		Ouvert
Port 984		Ouvert
Port 3412		Ouvert
Port 2282		Ouvert
Port 5291		Ouvert
Port 5301		Ouvert
Port 5271		Ouvert
Port 3402		Ouvert
Port 3392		Ouvert
Port 5281		Ouvert
Port 3422		Ouvert
Port 5331		Ouvert
Port 5321		Ouvert
Port 5341		Ouvert
Port 5311		Ouvert
Port 5351		Ouvert
Port 3452		Ouvert
Port 1434		Ouvert
Port 5361		Ouvert
Port 5381		Ouvert
Port 3442		Ouvert
Port 5371		Ouvert
Port 5391		Ouvert
Port 1462		Ouvert
Port 1444		Ouvert
Port 5401		Ouvert
Port 5411		Ouvert
Port 3502		Ouvert
Port 2323		Ouvert
Port 2303		Ouvert
Port 575		Ouvert
Port 5421		Ouvert
Port 2352		Ouvert
Port 5431		Ouvert
Port 3532		Ouvert
Port 5461		Ouvert
Port 1023		Ouvert
Port 5451		Ouvert
Port 5471		Ouvert
Port 995		Ouvert
Port 5441		Ouvert
Port 762		Ouvert
Port 2382		Ouvert
Port 5491		Ouvert
Port 97		Ouvert
Port 3542		Ouvert
Port 5481		Ouvert
Port 5501		Ouvert
Port 5511		Ouvert
Port 5541		Ouvert
Port 5521		Ouvert
Port 2392		Ouvert
Port 5531		Ouvert
Port 5561		Ouvert
Port 275		Ouvert
Port 5551		Ouvert
Port 5571		Ouvert
Port 5591		Ouvert
Port 5581		Ouvert
Port 3572		Ouvert
Port 5601		Ouvert
Port 5611		Ouvert
Port 1474		Ouvert
Port 5621		Ouvert
Port 2422		Ouvert
Port 3582		Ouvert
Port 5641		Ouvert
Port 2413		Ouvert
Port 5631		Ouvert
Port 2433		Ouvert
Port 174		Ouvert
Port 5651		Ouvert
Port 1502		Ouvert
Port 2462		Ouvert
Port 5661		Ouvert
Port 3622		Ouvert
Port 5681		Ouvert
Port 5671		Ouvert
Port 596		Ouvert
Port 3652		Ouvert
Port 5691		Ouvert
Port 5701		Ouvert
Port 3642		Ouvert
Port 5721		Ouvert
Port 5731		Ouvert
Port 784		Ouvert
Port 5711		Ouvert
Port 1494		Ouvert
Port 5741		Ouvert
Port 3672		Ouvert
Port 1553		Ouvert
Port 5761		Ouvert
Port 224		Ouvert
Port 5751		Ouvert
Port 2453		Ouvert
Port 5771		Ouvert
Port 3702		Ouvert
Port 5781		Ouvert
Port 3712		Ouvert
Port 3722		Ouvert
Port 794		Ouvert
Port 5811		Ouvert
Port 5791		Ouvert
Port 5821		Ouvert
Port 5801		Ouvert
Port 5841		Ouvert
Port 3732		Ouvert
Port 5831		Ouvert
