Début du scan avec comme paramètres : 
Protocole : TCP		 Nom d'hôte : 127.0.0.1
Port de début : 1		 Timeout Max. socket : 2
Port de fin : 10234		 Execution parallèle : Non

2023-04-12 14:26:37.316942	Port 417	Fermé
2023-04-12 14:26:37.316992	Port 418	Fermé
2023-04-12 14:26:37.317050	Port 419	Fermé
2023-04-12 14:26:37.317112	Port 420	Fermé
2023-04-12 14:26:37.317177	Port 421	Fermé
2023-04-12 14:26:37.317245	Port 422	Fermé
2023-04-12 14:26:37.317325	Port 423	Fermé
2023-04-12 14:26:37.317398	Port 424	Fermé
2023-04-12 14:26:37.317477	Port 425	Fermé
2023-04-12 14:26:37.317550	Port 426	Fermé
2023-04-12 14:26:37.317610	Port 427	Fermé
2023-04-12 14:26:37.317684	Port 428	Fermé
2023-04-12 14:26:37.317747	Port 429	Fermé
2023-04-12 14:26:37.317804	Port 430	Fermé
2023-04-12 14:26:37.317874	Port 431	Fermé
2023-04-12 14:26:37.317933	Port 432	Fermé
2023-04-12 14:26:37.318006	Port 433	Fermé
2023-04-12 14:26:37.318064	Port 434	Fermé
2023-04-12 14:26:37.318104	Port 435	Fermé
2023-04-12 14:26:37.318150	Port 436	Fermé
2023-04-12 14:26:37.318193	Port 437	Fermé
2023-04-12 14:26:37.318246	Port 438	Fermé
2023-04-12 14:26:37.318290	Port 439	Fermé
2023-04-12 14:26:37.318337	Port 440	Fermé
2023-04-12 14:26:37.318384	Port 441	Fermé
2023-04-12 14:26:37.318423	Port 442	Fermé
2023-04-12 14:26:37.318471	Port 443	Fermé
2023-04-12 14:26:37.318527	Port 444	Fermé
2023-04-12 14:26:37.318568	Port 445	Fermé
2023-04-12 14:26:37.318612	Port 446	Fermé
2023-04-12 14:26:37.318669	Port 447	Fermé
2023-04-12 14:26:37.318724	Port 448	Fermé
2023-04-12 14:26:37.318771	Port 449	Fermé
2023-04-12 14:26:37.318820	Port 450	Fermé
2023-04-12 14:26:37.318866	Port 451	Fermé
2023-04-12 14:26:37.318916	Port 452	Fermé
2023-04-12 14:26:37.318959	Port 453	Fermé
2023-04-12 14:26:37.319013	Port 454	Fermé
2023-04-12 14:26:37.319060	Port 455	Fermé
2023-04-12 14:26:37.319106	Port 456	Fermé
2023-04-12 14:26:37.319148	Port 457	Fermé
2023-04-12 14:26:37.319187	Port 458	Fermé
2023-04-12 14:26:37.319236	Port 459	Fermé
2023-04-12 14:26:37.319283	Port 460	Fermé
2023-04-12 14:26:37.319328	Port 461	Fermé
2023-04-12 14:26:37.319372	Port 462	Fermé
2023-04-12 14:26:37.319420	Port 463	Fermé
2023-04-12 14:26:37.319470	Port 464	Fermé
2023-04-12 14:26:37.319511	Port 465	Fermé
2023-04-12 14:26:37.319545	Port 466	Fermé
2023-04-12 14:26:37.319600	Port 467	Fermé
2023-04-12 14:26:37.319656	Port 468	Fermé
2023-04-12 14:26:37.319718	Port 469	Fermé
2023-04-12 14:26:37.319767	Port 470	Fermé
2023-04-12 14:26:37.319822	Port 471	Fermé
2023-04-12 14:26:37.319869	Port 472	Fermé
2023-04-12 14:26:37.319924	Port 473	Fermé
2023-04-12 14:26:37.319973	Port 474	Fermé
2023-04-12 14:26:37.320024	Port 475	Fermé
2023-04-12 14:26:37.320074	Port 476	Fermé
2023-04-12 14:26:37.320114	Port 477	Fermé
2023-04-12 14:26:37.320155	Port 478	Fermé
2023-04-12 14:26:37.320194	Port 479	Fermé
2023-04-12 14:26:37.320233	Port 480	Fermé
2023-04-12 14:26:37.320272	Port 481	Fermé
2023-04-12 14:26:37.320310	Port 482	Fermé
2023-04-12 14:26:37.320348	Port 483	Fermé
2023-04-12 14:26:37.320386	Port 484	Fermé
2023-04-12 14:26:37.320424	Port 485	Fermé
2023-04-12 14:26:37.320462	Port 486	Fermé
2023-04-12 14:26:37.320500	Port 487	Fermé
2023-04-12 14:26:37.320538	Port 488	Fermé
2023-04-12 14:26:37.320576	Port 489	Fermé
2023-04-12 14:26:37.320614	Port 490	Fermé
2023-04-12 14:26:37.320666	Port 491	Fermé
2023-04-12 14:26:37.320708	Port 492	Fermé
2023-04-12 14:26:37.320747	Port 493	Fermé
2023-04-12 14:26:37.320785	Port 494	Fermé
2023-04-12 14:26:37.320823	Port 495	Fermé
2023-04-12 14:26:37.320862	Port 496	Fermé
2023-04-12 14:26:37.320900	Port 497	Fermé
2023-04-12 14:26:37.320940	Port 498	Fermé
2023-04-12 14:26:37.320979	Port 499	Fermé
2023-04-12 14:26:37.321017	Port 500	Fermé
2023-04-12 14:26:37.321057	Port 501	Fermé
2023-04-12 14:26:37.321095	Port 502	Fermé
2023-04-12 14:26:37.321138	Port 503	Fermé
2023-04-12 14:26:37.321176	Port 504	Fermé
2023-04-12 14:26:37.321214	Port 505	Fermé
2023-04-12 14:26:37.321251	Port 506	Fermé
2023-04-12 14:26:37.321290	Port 507	Fermé
2023-04-12 14:26:37.321331	Port 508	Fermé
2023-04-12 14:26:37.321371	Port 509	Fermé
2023-04-12 14:26:37.321408	Port 510	Fermé
2023-04-12 14:26:37.321446	Port 511	Fermé
2023-04-12 14:26:37.321484	Port 512	Fermé
2023-04-12 14:26:37.321525	Port 513	Fermé
2023-04-12 14:26:37.321564	Port 514	Fermé
2023-04-12 14:26:37.321603	Port 515	Fermé
2023-04-12 14:26:37.321651	Port 516	Fermé
2023-04-12 14:26:37.321702	Port 517	Fermé
2023-04-12 14:26:37.321747	Port 518	Fermé
